days,date_2019,speed_2019,travel_time_2019,date_2020,speed_2020,travel_time_2020
120,2019-07-02 00:00:00,34.34533187818861,221.01714616315152,2020-07-01 00:00:00,38.62665845103801,174.03422125319935
121,2019-07-03 00:00:00,33.373350327549815,228.16632404133432,2020-07-02 00:00:00,37.28938378271017,186.10070013406823
122,2019-07-04 00:00:00,40.03415614918054,196.40583301071106,2020-07-03 00:00:00,40.59445088315596,161.9670697052432
123,2019-07-05 00:00:00,38.08844909020519,210.2844496064008,2020-07-04 00:00:00,43.16465360481496,147.52375464207964
124,2019-07-06 00:00:00,38.73811856995885,190.31486625514404,2020-07-05 00:00:00,42.41848095554081,150.2113603185136
125,2019-07-07 00:00:00,37.43307278806584,207.56941872427984,2020-07-06 00:00:00,39.79190668085969,166.70303629359287
126,2019-07-08 00:00:00,33.80807925407925,247.65944055944055,2020-07-07 00:00:00,40.428637723033255,164.50240774533657
127,2019-07-09 00:00:00,33.39703568657875,258.11207654512543,2020-07-08 00:00:00,39.678817683203434,172.00981483772526
128,2019-07-10 00:00:00,32.65962448559671,247.4863425925926,2020-07-09 00:00:00,38.58513759125951,178.0040843416552
129,2019-07-11 00:00:00,30.17461281812539,231.9424529277881,2020-07-10 00:00:00,36.56327832434148,184.39492224690574
130,2019-07-12 00:00:00,32.37458743024183,221.218110550093,2020-07-11 00:00:00,40.861150334443906,156.57058928253517
131,2019-07-13 00:00:00,32.54892440828806,194.2862056727908,2020-07-12 00:00:00,41.06862150243309,160.49224452554745
132,2019-07-14 00:00:00,34.348536008230454,190.69750514403293,2020-07-13 00:00:00,38.64416666666666,179.60842457420924
133,2019-07-15 00:00:00,33.46045993832645,196.4788585166989,2020-07-14 00:00:00,37.75248656731549,181.70696472019463
134,2019-07-16 00:00:00,34.13010293333333,207.8448,2020-07-15 00:00:00,38.39198234250588,175.06118239201288
135,2019-07-17 00:00:00,32.74904521187424,213.59587857529723,2020-07-16 00:00:00,36.46743085975809,178.51605099705787
136,2019-07-18 00:00:00,32.803361564361566,216.63641543641543,2020-07-17 00:00:00,37.28214061232766,175.73149837793997
137,2019-07-19 00:00:00,32.933907590079066,214.96162464264557,2020-07-18 00:00:00,39.322913417824395,170.4529753892261
138,2019-07-20 00:00:00,36.02040448202738,179.90501871874756,2020-07-19 00:00:00,40.03509037678208,158.60794297352342
139,2019-07-21 00:00:00,36.98359772639194,175.33029324376696,2020-07-20 00:00:00,37.63161853678377,181.46481773348924
140,2019-07-22 00:00:00,33.50087985546522,214.1336172409343,2020-07-21 00:00:00,37.09045125264111,154.0777241171144
